Target,Model,accuracy,macro_f1,macro_precision,macro_recall,weighted_f1,weighted_precision,weighted_recall,macro_roc_auc,macro_pr_auc,weighted_roc_auc,weighted_pr_auc,Setting
overall,FEDformer,0.5635,0.4052,0.581,0.5125,0.4393,0.5789,0.5635,0.6278,0.6608,0.6278,0.6608,classification_ovr_cls_wobg_clip_seq256_enc64_lr0.0002_FEDformer_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
suiside,FiLM,0.8333,0.7419,0.8153,0.7131,0.8175,0.828,0.8333,0.8062,0.6395,0.8062,0.6395,classification_sui_cls_wobg_clip_seq256_enc64_lr0.0002_FiLM_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
suiside,Reformer,0.8016,0.6731,0.7721,0.6506,0.7739,0.7911,0.8016,0.7404,0.5703,0.7404,0.5703,classification_sui_cls_wobg_clip_seq256_enc64_lr0.0002_Reformer_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
suiside,Pyraformer,0.8016,0.6833,0.7612,0.6609,0.7785,0.7884,0.8016,0.7779,0.5588,0.7779,0.5588,classification_sui_cls_wobg_clip_seq256_enc64_lr0.0002_Pyraformer_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
suiside,PatchTST,0.7937,0.5971,0.8917,0.5938,0.7356,0.8384,0.7937,0.5947,0.4868,0.5947,0.4868,classification_sui_cls_wobg_clip_seq256_enc64_lr0.0002_PatchTST_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
suiside,Transformer,0.7937,0.7089,0.7277,0.6968,0.7862,0.783,0.7937,0.7543,0.5504,0.7543,0.5504,classification_sui_cls_wobg_clip_seq256_enc64_lr0.0002_Transformer_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
suiside,TimesNet,0.7937,0.6543,0.7589,0.635,0.7623,0.7809,0.7937,0.7663,0.5665,0.7663,0.5665,classification_sui_cls_wobg_clip_seq256_enc64_lr0.0002_TimesNet_Mental_ftwobg_clip_sl256_ll48_pl0_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
suiside,Informer,0.7937,0.685,0.7354,0.6659,0.776,0.7774,0.7937,0.736,0.5137,0.736,0.5137,classification_sui_cls_wobg_clip_seq256_enc64_lr0.0002_Informer_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
suiside,iTransformer,0.7778,0.6865,0.7035,0.6759,0.7697,0.7657,0.7778,0.736,0.4531,0.736,0.4531,classification_sui_cls_wobg_clip_seq256_enc64_lr0.0002_iTransformer_Mental_ftwobg_clip_sl256_ll48_pl0_dm2048_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
suiside,LightTS,0.7778,0.6507,0.7083,0.6346,0.7544,0.7562,0.7778,0.7483,0.4795,0.7483,0.4795,classification_sui_cls_wobg_clip_seq256_enc64_lr0.0002_LightTS_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
suiside,DLinear,0.7698,0.5601,0.7437,0.5675,0.7096,0.7582,0.7698,0.7626,0.4833,0.7626,0.4833,classification_sui_cls_wobg_clip_seq256_enc64_lr0.0002_DLinear_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
suiside,Crossformer,0.7619,0.5542,0.6981,0.5622,0.704,0.7341,0.7619,0.6712,0.4698,0.6712,0.4698,classification_sui_cls_wobg_clip_seq256_enc64_lr0.0002_Crossformer_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
suiside,FEDformer,0.754,0.5485,0.6624,0.5568,0.6984,0.715,0.754,0.6333,0.4026,0.6333,0.4026,classification_sui_cls_wobg_clip_seq256_enc64_lr0.0002_FEDformer_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
suiside,PatchTST,0.746,0.4273,0.373,0.5,0.6375,0.5566,0.746,0.7247,0.5388,0.7247,0.5388,classification_sui_cls_src_clip_seq1024_enc256_lr0.0002_PatchTST_Mental_ftsrc_clip_sl1024_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq1024_src_clip_lr0.0002_0
suiside,Autoformer,0.746,0.4273,0.373,0.5,0.6375,0.5566,0.746,0.5575,0.2978,0.5575,0.2978,classification_sui_cls_wobg_clip_seq256_enc64_lr0.0002_Autoformer_Mental_ftwobg_clip_sl256_ll48_pl0_dm128_nh8_el3_dl1_df256_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_seq256_wobg_clip_lr0.0002_0
